company,cik,status
Apple,0000320193,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Meta,0001326801,No 10-K/10-Q found
Amazon,0001018724,No 10-K/10-Q found
Google,0001652044,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
Nvidia,0001045810,No 10-K/10-Q found
Apple,0000320193,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Meta,0001326801,No 10-K/10-Q found
Amazon,0001018724,No 10-K/10-Q found
Google,0001652044,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
Nvidia,0001045810,No 10-K/10-Q found
Apple,0000320193,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Meta,0001326801,No 10-K/10-Q found
Amazon,0001018724,No 10-K/10-Q found
Google,0001652044,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
Nvidia,0001045810,No 10-K/10-Q found
Apple,0000320193,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Meta,0001326801,No 10-K/10-Q found
Amazon,0001018724,No 10-K/10-Q found
Google,0001652044,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
Nvidia,0001045810,No 10-K/10-Q found
Apple,0000320193,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Meta,0001326801,No 10-K/10-Q found
Amazon,0001018724,No 10-K/10-Q found
Google,0001652044,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
Nvidia,0001045810,No 10-K/10-Q found
Apple,0000320193,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Meta,0001326801,No 10-K/10-Q found
Amazon,0001018724,No 10-K/10-Q found
Google,0001652044,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
Nvidia,0001045810,No 10-K/10-Q found
Microsoft,0000789019,No 10-K/10-Q found
Rise,0001640967,No 10-K/10-Q found
Tesla,0001318605,No 10-K/10-Q found
